place,date,value,StringencyIndex_Average_ForDisplay
Workplaces,2020-05-05,39.142857142857146,44.44
Retail & recreation,2020-05-05,27.571428571428573,44.44
Grocery & pharmacy,2020-05-05,73.71428571428571,44.44
Residential,2020-05-05,122.85714285714286,44.44
Transit stations,2020-05-06,36.285714285714285,44.44
Workplaces,2020-05-06,39.285714285714285,44.44
Retail & recreation,2020-05-06,27.571428571428573,44.44
Grocery & pharmacy,2020-05-06,73.85714285714286,44.44
Residential,2020-05-06,122.85714285714286,44.44
Transit stations,2020-05-07,35.714285714285715,44.44
Workplaces,2020-05-07,39.42857142857143,44.44
Retail & recreation,2020-05-07,27.428571428571427,44.44
Grocery & pharmacy,2020-05-07,73.85714285714286,44.44
Residential,2020-05-07,122.85714285714286,44.44
Transit stations,2020-05-08,35.714285714285715,44.44
Workplaces,2020-05-08,39.714285714285715,44.44
Retail & recreation,2020-05-08,27.714285714285715,44.44
Grocery & pharmacy,2020-05-08,74.14285714285714,44.44
Residential,2020-05-08,122.85714285714286,44.44
Transit stations,2020-05-09,36,44.44
Workplaces,2020-05-09,40,44.44
Retail & recreation,2020-05-09,28,44.44
Grocery & pharmacy,2020-05-09,74.42857142857143,44.44
Residential,2020-05-09,122.71428571428571,44.44
Transit stations,2020-05-10,36,44.44
Workplaces,2020-05-10,40.285714285714285,44.44
Retail & recreation,2020-05-10,28.142857142857142,44.44
Grocery & pharmacy,2020-05-10,74.28571428571429,44.44
Residential,2020-05-10,122.71428571428571,44.44
Transit stations,2020-05-11,36.142857142857146,44.44
Workplaces,2020-05-11,40.57142857142857,44.44
Retail & recreation,2020-05-11,28.142857142857142,44.44
Grocery & pharmacy,2020-05-11,73.42857142857143,44.44
Residential,2020-05-11,122.42857142857143,44.44
Transit stations,2020-05-12,37.285714285714285,44.44
Workplaces,2020-05-12,43,44.44
Retail & recreation,2020-05-12,29,44.44
Grocery & pharmacy,2020-05-12,74.42857142857143,44.44
Residential,2020-05-12,121.57142857142857,44.44
Transit stations,2020-05-13,37.857142857142854,35.19
Workplaces,2020-05-13,43.714285714285715,35.19
Retail & recreation,2020-05-13,29.571428571428573,35.19
Grocery & pharmacy,2020-05-13,75,35.19
Residential,2020-05-13,121.28571428571429,35.19
Transit stations,2020-05-14,39.714285714285715,35.19
Workplaces,2020-05-14,44.57142857142857,35.19
Retail & recreation,2020-05-14,30.428571428571427,35.19
Grocery & pharmacy,2020-05-14,76.14285714285714,35.19
Residential,2020-05-14,121,35.19
Transit stations,2020-05-15,40.42857142857143,35.19
Workplaces,2020-05-15,45,35.19
Retail & recreation,2020-05-15,31,35.19
Grocery & pharmacy,2020-05-15,76.85714285714286,35.19
Residential,2020-05-15,120.71428571428571,35.19
Transit stations,2020-05-16,41.142857142857146,35.19
Workplaces,2020-05-16,45.42857142857143,35.19
Retail & recreation,2020-05-16,31.571428571428573,35.19
Grocery & pharmacy,2020-05-16,77.57142857142857,35.19
Residential,2020-05-16,120.42857142857143,35.19
Transit stations,2020-05-17,42,35.19
Workplaces,2020-05-17,45.714285714285715,35.19
Retail & recreation,2020-05-17,32.142857142857146,35.19
Grocery & pharmacy,2020-05-17,78.57142857142857,35.19
Residential,2020-05-17,120,35.19
Transit stations,2020-05-18,42.42857142857143,35.19
Workplaces,2020-05-18,46,35.19
Retail & recreation,2020-05-18,32.57142857142857,35.19
Grocery & pharmacy,2020-05-18,79.28571428571429,35.19
Residential,2020-05-18,120,35.19
Transit stations,2020-05-19,42.57142857142857,35.19
Workplaces,2020-05-19,46.285714285714285,35.19
Retail & recreation,2020-05-19,33,35.19
Grocery & pharmacy,2020-05-19,79.71428571428571,35.19
Residential,2020-05-19,120,35.19
Transit stations,2020-05-20,42.42857142857143,35.19
Workplaces,2020-05-20,46.57142857142857,35.19
Retail & recreation,2020-05-20,33.285714285714285,35.19
Grocery & pharmacy,2020-05-20,80,35.19
Residential,2020-05-20,120,35.19
Transit stations,2020-05-21,42.857142857142854,35.19
Workplaces,2020-05-21,47,35.19
Retail & recreation,2020-05-21,33.714285714285715,35.19
Grocery & pharmacy,2020-05-21,80.57142857142857,35.19
Residential,2020-05-21,119.85714285714286,35.19
Transit stations,2020-05-22,42.714285714285715,35.19
Workplaces,2020-05-22,44.42857142857143,35.19
Retail & recreation,2020-05-22,33.57142857142857,35.19
Grocery & pharmacy,2020-05-22,80.14285714285714,35.19
Residential,2020-05-22,120.14285714285714,35.19
Transit stations,2020-05-23,43,35.19
Workplaces,2020-05-23,44.42857142857143,35.19
Retail & recreation,2020-05-23,34.142857142857146,35.19
Grocery & pharmacy,2020-05-23,80.71428571428571,35.19
Residential,2020-05-23,120,35.19
Transit stations,2020-05-24,43.142857142857146,35.19
Workplaces,2020-05-24,44.57142857142857,35.19
Retail & recreation,2020-05-24,34.57142857142857,35.19
Grocery & pharmacy,2020-05-24,80.85714285714286,35.19
Residential,2020-05-24,120,35.19
Transit stations,2020-05-25,43.57142857142857,35.19
Workplaces,2020-05-25,44.714285714285715,35.19
Retail & recreation,2020-05-25,35.142857142857146,35.19
Grocery & pharmacy,2020-05-25,81.42857142857143,35.19
Residential,2020-05-25,119.85714285714286,35.19
Transit stations,2020-05-26,44.42857142857143,35.19
Workplaces,2020-05-26,45,35.19
Retail & recreation,2020-05-26,35.714285714285715,35.19
Grocery & pharmacy,2020-05-26,82.28571428571429,35.19
Residential,2020-05-26,119.57142857142857,35.19
Transit stations,2020-05-27,45.857142857142854,35.19
Workplaces,2020-05-27,46.42857142857143,35.19
Retail & recreation,2020-05-27,36.142857142857146,35.19
Grocery & pharmacy,2020-05-27,83.28571428571429,35.19
Residential,2020-05-27,119.14285714285714,35.19
Transit stations,2020-05-28,46.857142857142854,35.19
Workplaces,2020-05-28,47.857142857142854,35.19
Retail & recreation,2020-05-28,36.714285714285715,35.19
Grocery & pharmacy,2020-05-28,84.14285714285714,35.19
Residential,2020-05-28,118.85714285714286,35.19
Transit stations,2020-05-29,48.142857142857146,35.19
Workplaces,2020-05-29,51.285714285714285,35.19
Retail & recreation,2020-05-29,37.857142857142854,35.19
Grocery & pharmacy,2020-05-29,85.57142857142857,35.19
Residential,2020-05-29,118.14285714285714,35.19
Transit stations,2020-05-30,48.714285714285715,35.19
Workplaces,2020-05-30,52,35.19
Retail & recreation,2020-05-30,38,35.19
Grocery & pharmacy,2020-05-30,85.42857142857143,35.19
Residential,2020-05-30,117.85714285714286,35.19
Transit stations,2020-05-31,48.42857142857143,35.19
Workplaces,2020-05-31,52.57142857142857,35.19
Retail & recreation,2020-05-31,37.857142857142854,35.19
Grocery & pharmacy,2020-05-31,84.85714285714286,35.19
Residential,2020-05-31,117.85714285714286,35.19
Transit stations,2020-06-01,48.285714285714285,35.19
Workplaces,2020-06-01,53.142857142857146,35.19
Retail & recreation,2020-06-01,37.714285714285715,35.19
Grocery & pharmacy,2020-06-01,84.14285714285714,35.19
Residential,2020-06-01,117.85714285714286,35.19
Transit stations,2020-06-02,47.857142857142854,35.19
Workplaces,2020-06-02,53.57142857142857,35.19
Retail & recreation,2020-06-02,37.57142857142857,35.19
Grocery & pharmacy,2020-06-02,83.42857142857143,35.19
Residential,2020-06-02,117.85714285714286,35.19
Transit stations,2020-06-03,46.714285714285715,35.19
Workplaces,2020-06-03,53.285714285714285,35.19
Retail & recreation,2020-06-03,37.42857142857143,35.19
Grocery & pharmacy,2020-06-03,82.57142857142857,35.19
Residential,2020-06-03,118.14285714285714,35.19
Transit stations,2020-06-04,45.857142857142854,35.19
Workplaces,2020-06-04,53,35.19
Retail & recreation,2020-06-04,37.42857142857143,35.19
Grocery & pharmacy,2020-06-04,82,35.19
